13:03:53:686 [01192] | INFO  | Initializing crosire's ReShade version '4.9.1.1' (32-bit) built on '2021-09-11 12:46:12' loaded from "C:\Users\revad\Downloads\Launcher\mods\2006S-Shaders By Bitl\OPENGL32.dll" into "C:\Users\revad\Downloads\Launcher\mods\2006S-Shaders By Bitl\RobloxApp_client.exe" ...
13:03:53:753 [01192] | INFO  | Registering hooks for "user32.dll" ...
13:03:53:754 [01192] | INFO  | > Libraries loaded.
13:03:53:756 [01192] | INFO  | > Found 14 match(es). Installing ...
13:03:53:823 [01192] | INFO  | Registering hooks for "ws2_32.dll" ...
13:03:53:824 [01192] | INFO  | > Libraries loaded.
13:03:53:825 [01192] | INFO  | > Found 8 match(es). Installing ...
13:03:53:892 [01192] | INFO  | Registering hooks for "C:\WINDOWS\system32\d2d1.dll" ...
13:03:53:894 [01192] | INFO  | > Delayed.
13:03:53:894 [01192] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d9.dll" ...
13:03:53:896 [01192] | INFO  | > Delayed.
13:03:53:896 [01192] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d10.dll" ...
13:03:53:897 [01192] | INFO  | > Delayed.
13:03:53:899 [01192] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d10_1.dll" ...
13:03:53:900 [01192] | INFO  | > Delayed.
13:03:53:900 [01192] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d11.dll" ...
13:03:53:901 [01192] | INFO  | > Delayed.
13:03:53:901 [01192] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d12.dll" ...
13:03:53:902 [01192] | INFO  | > Delayed.
13:03:53:902 [01192] | INFO  | Registering hooks for "C:\WINDOWS\system32\dxgi.dll" ...
13:03:53:903 [01192] | INFO  | > Delayed.
13:03:53:904 [01192] | INFO  | Registering hooks for "C:\WINDOWS\system32\opengl32.dll" ...
13:03:53:904 [01192] | INFO  | > Delayed until first call to an exported function.
13:03:53:904 [01192] | INFO  | Registering hooks for "vrclient.dll" ...
13:03:53:905 [01192] | INFO  | > Delayed.
13:03:53:905 [01192] | INFO  | Initialized.
13:03:54:033 [01192] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FE1C { ROBLOX-ATOM }) ...
13:03:54:034 [01192] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'ROBLOX-ATOM'.
13:03:54:134 [01192] | INFO  | Redirecting RegisterClassExA(lpWndClassEx = 008822A8 { Roblox.Marshaller }) ...
13:03:54:134 [01192] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'Roblox.Marshaller'.
13:03:54:137 [01192] | INFO  | Installing delayed hooks for "C:\WINDOWS\system32\dxgi.dll" (Just loaded via LoadLibrary("kernel32.dll")) ...
13:03:54:138 [01192] | INFO  | > Found 5 match(es). Installing ...
13:03:54:235 [01192] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FC6C { XTPDockingPaneSplitter }) ...
13:03:54:236 [01192] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneSplitter'.
13:03:54:236 [01192] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FC60 { XTPDockingPaneTabbedContainer }) ...
13:03:54:237 [01192] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneTabbedContainer'.
13:03:54:237 [01192] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FC54 { XTPDockingPaneManager }) ...
13:03:54:237 [01192] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneManager'.
13:03:54:238 [01192] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FC48 { XTPDockingPaneAutoHidePanel }) ...
13:03:54:238 [01192] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneAutoHidePanel'.
13:03:54:239 [01192] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FC3C { XTPDockingPaneMiniWnd }) ...
13:03:54:239 [01192] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneMiniWnd'.
13:03:54:251 [01192] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FD80 { AfxFrameOrView80 }) ...
13:03:54:252 [01192] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'AfxFrameOrView80'.
13:03:54:253 [01192] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FCF8 { AfxMDIFrame80 }) ...
13:03:54:253 [01192] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'AfxMDIFrame80'.
13:03:54:253 [01192] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FCF4 { Afx:00400000:0:00000000:00000000:028007F5 }) ...
13:03:54:254 [01192] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'Afx:00400000:0:00000000:00000000:028007F5'.
13:03:54:274 [01192] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019F370 { XTPDockBar }) ...
13:03:54:275 [01192] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockBar'.
