10:25:03:483 [11100] | INFO  | Initializing crosire's ReShade version '4.9.1.1' (32-bit) built on '2021-09-11 12:46:12' loaded from "C:\Users\revad\Downloads\novetus-windows\clients\2007E-Shaders\OPENGL32.DLL" into "C:\Users\revad\Downloads\novetus-windows\clients\2007E-Shaders\RobloxApp_solo.exe" ...
10:25:03:546 [11100] | INFO  | Registering hooks for "user32.dll" ...
10:25:03:547 [11100] | INFO  | > Libraries loaded.
10:25:03:548 [11100] | INFO  | > Found 14 match(es). Installing ...
10:25:03:611 [11100] | INFO  | Registering hooks for "ws2_32.dll" ...
10:25:03:612 [11100] | INFO  | > Libraries loaded.
10:25:03:612 [11100] | INFO  | > Found 8 match(es). Installing ...
10:25:03:683 [11100] | INFO  | Registering hooks for "C:\WINDOWS\system32\d2d1.dll" ...
10:25:03:684 [11100] | INFO  | > Delayed.
10:25:03:684 [11100] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d9.dll" ...
10:25:03:685 [11100] | INFO  | > Delayed.
10:25:03:685 [11100] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d10.dll" ...
10:25:03:686 [11100] | INFO  | > Delayed.
10:25:03:686 [11100] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d10_1.dll" ...
10:25:03:687 [11100] | INFO  | > Delayed.
10:25:03:687 [11100] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d11.dll" ...
10:25:03:688 [11100] | INFO  | > Delayed.
10:25:03:688 [11100] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d12.dll" ...
10:25:03:689 [11100] | INFO  | > Delayed.
10:25:03:689 [11100] | INFO  | Registering hooks for "C:\WINDOWS\system32\dxgi.dll" ...
10:25:03:690 [11100] | INFO  | > Delayed.
10:25:03:691 [11100] | INFO  | Registering hooks for "C:\WINDOWS\system32\opengl32.dll" ...
10:25:03:691 [11100] | INFO  | > Delayed until first call to an exported function.
10:25:03:691 [11100] | INFO  | Registering hooks for "vrclient.dll" ...
10:25:03:691 [11100] | INFO  | > Delayed.
10:25:03:692 [11100] | INFO  | Initialized.
10:25:03:780 [11100] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FE1C { ROBLOX-ATOM }) ...
10:25:03:781 [11100] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'ROBLOX-ATOM'.
10:25:03:845 [11100] | INFO  | Redirecting RegisterClassExA(lpWndClassEx = 008822A8 { Roblox.Marshaller }) ...
10:25:03:846 [11100] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'Roblox.Marshaller'.
