12:55:07:717 [14744] | INFO  | Initializing crosire's ReShade version '4.9.1.1' (32-bit) built on '2021-09-11 12:46:12' loaded from "C:\Users\revad\Downloads\Launcher\mods\2007M-Shaders\OPENGL32.dll" into "C:\Users\revad\Downloads\Launcher\mods\2007M-Shaders\RobloxApp_studio.exe" ...
12:55:07:784 [14744] | INFO  | Registering hooks for "user32.dll" ...
12:55:07:785 [14744] | INFO  | > Libraries loaded.
12:55:07:787 [14744] | INFO  | > Found 14 match(es). Installing ...
12:55:07:852 [14744] | INFO  | Registering hooks for "ws2_32.dll" ...
12:55:07:853 [14744] | INFO  | > Libraries loaded.
12:55:07:855 [14744] | INFO  | > Found 8 match(es). Installing ...
12:55:07:921 [14744] | INFO  | Registering hooks for "C:\WINDOWS\system32\d2d1.dll" ...
12:55:07:923 [14744] | INFO  | > Delayed.
12:55:07:923 [14744] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d9.dll" ...
12:55:07:925 [14744] | INFO  | > Delayed.
12:55:07:925 [14744] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d10.dll" ...
12:55:07:927 [14744] | INFO  | > Delayed.
12:55:07:927 [14744] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d10_1.dll" ...
12:55:07:929 [14744] | INFO  | > Delayed.
12:55:07:930 [14744] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d11.dll" ...
12:55:07:931 [14744] | INFO  | > Delayed.
12:55:07:932 [14744] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d12.dll" ...
12:55:07:935 [14744] | INFO  | > Delayed.
12:55:07:935 [14744] | INFO  | Registering hooks for "C:\WINDOWS\system32\dxgi.dll" ...
12:55:07:938 [14744] | INFO  | > Delayed.
12:55:07:938 [14744] | INFO  | Registering hooks for "C:\WINDOWS\system32\opengl32.dll" ...
12:55:07:939 [14744] | INFO  | > Delayed until first call to an exported function.
12:55:07:939 [14744] | INFO  | Registering hooks for "vrclient.dll" ...
12:55:07:939 [14744] | INFO  | > Delayed.
12:55:07:939 [14744] | INFO  | Initialized.
12:55:08:048 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FE1C { ROBLOX-ATOM }) ...
12:55:08:049 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'ROBLOX-ATOM'.
12:55:08:175 [14744] | INFO  | Redirecting RegisterClassExA(lpWndClassEx = 008970D8 { Roblox.Marshaller }) ...
12:55:08:175 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'Roblox.Marshaller'.
12:55:08:178 [14744] | INFO  | Installing delayed hooks for "C:\WINDOWS\system32\dxgi.dll" (Just loaded via LoadLibrary("kernel32.dll")) ...
12:55:08:179 [14744] | INFO  | > Found 5 match(es). Installing ...
12:55:08:285 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FC7C { XTPDockingPaneSplitter }) ...
12:55:08:285 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneSplitter'.
12:55:08:286 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FC6C { XTPDockingPaneTabbedContainer }) ...
12:55:08:286 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneTabbedContainer'.
12:55:08:286 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FC5C { XTPDockingPaneManager }) ...
12:55:08:287 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneManager'.
12:55:08:287 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FC4C { XTPDockingPaneAutoHidePanel }) ...
12:55:08:287 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneAutoHidePanel'.
12:55:08:288 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FC7C { XTPDockingPaneMiniWnd }) ...
12:55:08:288 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneMiniWnd'.
12:55:08:304 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FD80 { AfxFrameOrView80 }) ...
12:55:08:305 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'AfxFrameOrView80'.
12:55:08:307 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FCF8 { AfxMDIFrame80 }) ...
12:55:08:308 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'AfxMDIFrame80'.
12:55:08:308 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FCF4 { Afx:00400000:0:00000000:00000000:00890941 }) ...
12:55:08:309 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'Afx:00400000:0:00000000:00000000:00890941'.
12:55:08:332 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019F36C { XTPDockBar }) ...
12:55:08:332 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockBar'.
12:55:08:395 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019F2E8 { XTPToolBar }) ...
12:55:08:395 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPToolBar'.
12:55:08:699 [14744] | INFO  | Installing delayed hooks for "C:\WINDOWS\system32\d3d11.dll" (Just loaded via LoadLibrary("RICHED20.DLL")) ...
12:55:08:700 [14744] | INFO  | > Found 2 match(es). Installing ...
12:55:08:806 [14744] | INFO  | Redirecting RegisterClassExA(lpWndClassEx = 0089AF10 { Roblox.MarshalWindow }) ...
12:55:08:807 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'Roblox.MarshalWindow'.
12:55:08:817 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019EF98 { XTPPropertyGrid }) ...
12:55:08:817 [14744] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPPropertyGrid'.
12:55:08:931 [14744] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FCD0 { Afx:00400000:2b:00010003:00000006:0020085F }) ...
