18:19:10:935 [12428] | INFO  | Initializing crosire's ReShade version '4.9.1.1' (32-bit) built on '2021-09-11 12:46:12' loaded from "C:\Users\revad\Downloads\novetus-windows\clients\2008M\OPENGL32.dll" into "C:\Users\revad\Downloads\novetus-windows\clients\2008M\RobloxApp_studio.exe" ...
18:19:11:080 [12428] | INFO  | Registering hooks for "user32.dll" ...
18:19:11:082 [12428] | INFO  | > Libraries loaded.
18:19:11:086 [12428] | INFO  | > Found 14 match(es). Installing ...
18:19:11:218 [12428] | INFO  | Registering hooks for "ws2_32.dll" ...
18:19:11:218 [12428] | INFO  | > Libraries loaded.
18:19:11:220 [12428] | INFO  | > Found 8 match(es). Installing ...
18:19:11:391 [12428] | INFO  | Registering hooks for "C:\WINDOWS\system32\d2d1.dll" ...
18:19:11:433 [12428] | INFO  | > Delayed.
18:19:11:473 [12428] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d9.dll" ...
18:19:11:514 [12428] | INFO  | > Delayed.
18:19:11:516 [12428] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d10.dll" ...
18:19:11:556 [12428] | INFO  | > Delayed.
18:19:11:556 [12428] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d10_1.dll" ...
18:19:11:596 [12428] | INFO  | > Delayed.
18:19:11:596 [12428] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d11.dll" ...
18:19:11:637 [12428] | INFO  | > Delayed.
18:19:11:637 [12428] | INFO  | Registering hooks for "C:\WINDOWS\system32\d3d12.dll" ...
18:19:11:677 [12428] | INFO  | > Delayed.
18:19:11:678 [12428] | INFO  | Registering hooks for "C:\WINDOWS\system32\dxgi.dll" ...
18:19:11:723 [12428] | INFO  | > Delayed.
18:19:11:763 [12428] | INFO  | Registering hooks for "C:\WINDOWS\system32\opengl32.dll" ...
18:19:11:769 [12428] | INFO  | > Delayed until first call to an exported function.
18:19:11:810 [12428] | INFO  | Registering hooks for "vrclient.dll" ...
18:19:11:858 [12428] | INFO  | > Delayed.
18:19:11:899 [12428] | INFO  | Initialized.
18:19:12:429 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FE08 { ROBLOX-ATOM }) ...
18:19:12:430 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'ROBLOX-ATOM'.
18:19:12:661 [12428] | INFO  | Installing delayed hooks for "C:\WINDOWS\system32\dxgi.dll" (Just loaded via LoadLibrary("Shell32.dll")) ...
18:19:12:662 [12428] | INFO  | > Found 5 match(es). Installing ...
18:19:23:986 [12428] | INFO  | Redirecting RegisterClassExA(lpWndClassEx = 0092C5B0 { Roblox.Marshaller }) ...
18:19:23:990 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'Roblox.Marshaller'.
18:19:24:315 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FD60 { XTPDockingPaneSplitter }) ...
18:19:24:319 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneSplitter'.
18:19:24:320 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FD50 { XTPDockingPaneTabbedContainer }) ...
18:19:24:321 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneTabbedContainer'.
18:19:24:321 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FD40 { XTPDockingPaneManager }) ...
18:19:24:321 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneManager'.
18:19:24:325 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FD30 { XTPDockingPaneAutoHidePanel }) ...
18:19:24:325 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneAutoHidePanel'.
18:19:24:326 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FD60 { XTPDockingPaneMiniWnd }) ...
18:19:24:327 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockingPaneMiniWnd'.
18:19:24:455 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FD70 { AfxFrameOrView90 }) ...
18:19:24:456 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'AfxFrameOrView90'.
18:19:24:457 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FCE8 { AfxMDIFrame90 }) ...
18:19:24:458 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'AfxMDIFrame90'.
18:19:24:458 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FCE4 { Afx:00400000:0:00000000:00000000:07700909 }) ...
18:19:24:459 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'Afx:00400000:0:00000000:00000000:07700909'.
18:19:24:647 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019F350 { XTPDockBar }) ...
18:19:24:648 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPDockBar'.
18:19:24:856 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019F2CC { XTPToolBar }) ...
18:19:24:858 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPToolBar'.
18:19:25:520 [12428] | INFO  | Redirecting RegisterClassExA(lpWndClassEx = 0092F1B8 { Roblox.MarshalWindow }) ...
18:19:25:520 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'Roblox.MarshalWindow'.
18:19:25:531 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019ECDC { XTPPropertyGrid }) ...
18:19:25:531 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'XTPPropertyGrid'.
18:19:25:571 [12428] | INFO  | Installing delayed hooks for "C:\WINDOWS\system32\d3d11.dll" (Just loaded via LoadLibrary("UxTheme.dll")) ...
18:19:25:574 [12428] | INFO  | > Found 2 match(es). Installing ...
18:19:26:414 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FCC0 { Afx:00400000:2b:00010003:00000006:25680231 }) ...
18:19:26:493 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019EC24 { Afx:00400000:8:00010003:00000000:00000000 }) ...
18:19:26:494 [12428] | INFO  | > Adding 'CS_OWNDC' window class style flag to 'Afx:00400000:8:00010003:00000000:00000000'.
18:19:30:929 [12428] | INFO  | Redirecting CreateDXGIFactory1(riid = {50C83A1C-E072-4C48-87B0-3630FA36A6D0}, ppFactory = 0019AD48) ...
18:19:30:939 [12428] | INFO  | Redirecting D3D11CreateDevice(pAdapter = 06EEFFC0, DriverType = 0, Software = 00000000, Flags = 0x29, pFeatureLevels = 00000000, FeatureLevels = 0, SDKVersion = 7, ppDevice = 0019AB9C, pFeatureLevel = 0019AB88, ppImmediateContext = 00000000) ...
18:19:30:940 [12428] | INFO  | > Passing on to D3D11CreateDeviceAndSwapChain:
18:19:30:940 [12428] | INFO  | Redirecting D3D11CreateDeviceAndSwapChain(pAdapter = 06EEFFC0, DriverType = 0, Software = 00000000, Flags = 0x29, pFeatureLevels = 00000000, FeatureLevels = 0, SDKVersion = 7, pSwapChainDesc = 00000000, ppSwapChain = 00000000, ppDevice = 0019AB9C, pFeatureLevel = 0019AB88, ppImmediateContext = 00000000) ...
18:19:30:953 [12428] | INFO  | > Using feature level 0xb000.
18:19:30:953 [12428] | WARN  | Skipping device because it uses the Microsoft Basic Render Driver.
18:19:30:971 [17756] | INFO  | Redirecting CreateDXGIFactory(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 08A7E4E0) ...
18:19:30:972 [17756] | INFO  | > Passing on to CreateDXGIFactory1:
18:19:30:972 [17756] | INFO  | Redirecting CreateDXGIFactory1(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 08A7E4E0) ...
18:19:30:971 [12428] | INFO  | Installing delayed hooks for "C:\WINDOWS\system32\d2d1.dll" (Just loaded via LoadLibrary("API-MS-WIN-CORE-WINRT-STRING-L1-1-0.DLL")) ...
18:19:30:973 [12428] | INFO  | > Found 2 match(es). Installing ...
18:19:31:184 [17756] | INFO  | Redirecting CreateDXGIFactory(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 08A7E4E0) ...
18:19:31:185 [17756] | INFO  | > Passing on to CreateDXGIFactory1:
18:19:31:185 [17756] | INFO  | Redirecting CreateDXGIFactory1(riid = {7B7166EC-21C7-44AE-B21A-C9AE321AE369}, ppFactory = 08A7E4E0) ...
18:25:09:557 [12428] | INFO  | Redirecting RegisterClassA(lpWndClass = 0019FA38 { Afx:00400000:820:00010003:00000000:00000000 }) ...
18:25:10:606 [12428] | INFO  | Exiting ...
18:25:10:607 [12428] | INFO  | Uninstalling 39 hook(s) ...
18:25:11:795 [12428] | INFO  | Finished exiting.
